,Actual,Prediction,Accuracy,ModelName,GridSearchParameters,GridSearchBestParameters,RunDate,RunTime
38,1,1,0,RandomForestClassifier,"{'n_estimators': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'max_depth': [1, 2, 3, 4, 5, 6, 7, 8, 9]}","{'max_depth': 6, 'n_estimators': 7}",2022-05-02,03:35:32
39,0,0,0,RandomForestClassifier,"{'n_estimators': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'max_depth': [1, 2, 3, 4, 5, 6, 7, 8, 9]}","{'max_depth': 6, 'n_estimators': 7}",2022-05-02,03:35:32
40,0,0,0,RandomForestClassifier,"{'n_estimators': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'max_depth': [1, 2, 3, 4, 5, 6, 7, 8, 9]}","{'max_depth': 6, 'n_estimators': 7}",2022-05-02,03:35:32
41,1,1,0,RandomForestClassifier,"{'n_estimators': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'max_depth': [1, 2, 3, 4, 5, 6, 7, 8, 9]}","{'max_depth': 6, 'n_estimators': 7}",2022-05-02,03:35:32
42,0,0,0,RandomForestClassifier,"{'n_estimators': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'max_depth': [1, 2, 3, 4, 5, 6, 7, 8, 9]}","{'max_depth': 6, 'n_estimators': 7}",2022-05-02,03:35:32
43,0,0,0,RandomForestClassifier,"{'n_estimators': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'max_depth': [1, 2, 3, 4, 5, 6, 7, 8, 9]}","{'max_depth': 6, 'n_estimators': 7}",2022-05-02,03:35:32
44,1,1,0,RandomForestClassifier,"{'n_estimators': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'max_depth': [1, 2, 3, 4, 5, 6, 7, 8, 9]}","{'max_depth': 6, 'n_estimators': 7}",2022-05-02,03:35:32
45,1,1,0,RandomForestClassifier,"{'n_estimators': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'max_depth': [1, 2, 3, 4, 5, 6, 7, 8, 9]}","{'max_depth': 6, 'n_estimators': 7}",2022-05-02,03:35:32
46,1,1,0,RandomForestClassifier,"{'n_estimators': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'max_depth': [1, 2, 3, 4, 5, 6, 7, 8, 9]}","{'max_depth': 6, 'n_estimators': 7}",2022-05-02,03:35:32
47,0,0,0,RandomForestClassifier,"{'n_estimators': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'max_depth': [1, 2, 3, 4, 5, 6, 7, 8, 9]}","{'max_depth': 6, 'n_estimators': 7}",2022-05-02,03:35:32
48,1,1,0,RandomForestClassifier,"{'n_estimators': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'max_depth': [1, 2, 3, 4, 5, 6, 7, 8, 9]}","{'max_depth': 6, 'n_estimators': 7}",2022-05-02,03:35:32
49,0,0,0,RandomForestClassifier,"{'n_estimators': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'max_depth': [1, 2, 3, 4, 5, 6, 7, 8, 9]}","{'max_depth': 6, 'n_estimators': 7}",2022-05-02,03:35:32
50,1,1,0,MLPClassifier,{},{},2022-05-02,03:35:32
51,0,0,0,MLPClassifier,{},{},2022-05-02,03:35:32
52,0,0,0,MLPClassifier,{},{},2022-05-02,03:35:32
53,1,1,0,MLPClassifier,{},{},2022-05-02,03:35:32
54,0,1,0,MLPClassifier,{},{},2022-05-02,03:35:32
55,1,1,0,MLPClassifier,{},{},2022-05-02,03:35:32
56,1,1,0,MLPClassifier,{},{},2022-05-02,03:35:32
57,1,1,0,MLPClassifier,{},{},2022-05-02,03:35:32
58,0,0,0,MLPClassifier,{},{},2022-05-02,03:35:32
59,0,0,0,MLPClassifier,{},{},2022-05-02,03:35:32
60,1,1,0,MLPClassifier,{},{},2022-05-02,03:35:32
61,0,1,0,MLPClassifier,{},{},2022-05-02,03:35:32
62,1,1,0,MLPClassifier,{},{},2022-05-02,03:35:32
63,1,1,0,MLPClassifier,{},{},2022-05-02,03:35:32
64,1,1,0,MLPClassifier,{},{},2022-05-02,03:35:32
65,0,0,0,MLPClassifier,{},{},2022-05-02,03:35:32
66,0,0,0,MLPClassifier,{},{},2022-05-02,03:35:32
67,0,0,0,MLPClassifier,{},{},2022-05-02,03:35:32
68,0,0,0,MLPClassifier,{},{},2022-05-02,03:35:32
69,1,1,0,MLPClassifier,{},{},2022-05-02,03:35:32
70,0,0,0,MLPClassifier,{},{},2022-05-02,03:35:32
71,0,0,0,MLPClassifier,{},{},2022-05-02,03:35:32
72,1,1,0,MLPClassifier,{},{},2022-05-02,03:35:32
73,1,1,0,MLPClassifier,{},{},2022-05-02,03:35:32
74,0,0,0,MLPClassifier,{},{},2022-05-02,03:35:32
75,1,1,0,MLPClassifier,{},{},2022-05-02,03:35:32
76,0,0,0,MLPClassifier,{},{},2022-05-02,03:35:32
77,1,1,0,MLPClassifier,{},{},2022-05-02,03:35:32
78,0,0,0,MLPClassifier,{},{},2022-05-02,03:35:32
79,0,0,0,MLPClassifier,{},{},2022-05-02,03:35:32
80,0,0,0,MLPClassifier,{},{},2022-05-02,03:35:32
81,0,0,0,MLPClassifier,{},{},2022-05-02,03:35:32
82,1,0,0,MLPClassifier,{},{},2022-05-02,03:35:32
83,0,0,0,MLPClassifier,{},{},2022-05-02,03:35:32
84,1,0,0,MLPClassifier,{},{},2022-05-02,03:35:32
85,0,0,0,MLPClassifier,{},{},2022-05-02,03:35:32
86,0,0,0,MLPClassifier,{},{},2022-05-02,03:35:32
87,0,0,0,MLPClassifier,{},{},2022-05-02,03:35:32
88,1,1,0,MLPClassifier,{},{},2022-05-02,03:35:32
89,0,0,0,MLPClassifier,{},{},2022-05-02,03:35:32
90,0,0,0,MLPClassifier,{},{},2022-05-02,03:35:32
91,1,1,0,MLPClassifier,{},{},2022-05-02,03:35:32
92,0,0,0,MLPClassifier,{},{},2022-05-02,03:35:32
93,0,0,0,MLPClassifier,{},{},2022-05-02,03:35:32
94,1,1,0,MLPClassifier,{},{},2022-05-02,03:35:32
95,1,1,0,MLPClassifier,{},{},2022-05-02,03:35:32
96,1,1,0,MLPClassifier,{},{},2022-05-02,03:35:32
97,0,0,0,MLPClassifier,{},{},2022-05-02,03:35:32
98,1,1,0,MLPClassifier,{},{},2022-05-02,03:35:32
99,0,0,0,MLPClassifier,{},{},2022-05-02,03:35:32
100,1,1,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
101,0,0,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
102,0,0,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
103,1,1,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
104,0,0,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
105,1,1,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
106,1,1,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
107,1,1,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
108,0,1,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
109,0,0,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
110,1,1,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
111,0,1,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
112,1,1,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
113,1,1,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
114,1,1,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
115,0,0,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
116,0,0,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
117,0,1,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
118,0,0,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
119,1,1,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
120,0,0,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
121,0,0,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
122,1,1,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
123,1,1,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
124,0,0,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
125,1,1,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
126,0,0,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
127,1,1,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
128,0,0,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
129,0,0,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
130,0,1,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
131,0,1,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
132,1,1,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
133,0,0,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
134,1,1,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
135,0,0,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
136,0,0,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
137,0,0,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
138,1,1,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
139,0,1,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
140,0,0,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
141,1,1,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
142,0,0,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
143,0,1,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
144,1,1,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
145,1,1,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
146,1,1,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
147,0,0,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
148,1,1,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
149,0,0,0,GradientBoostingClassifier,{},{},2022-05-02,03:35:32
150,1,1,0,SVC,{},{},2022-05-02,03:35:32
151,0,0,0,SVC,{},{},2022-05-02,03:35:32
152,0,0,0,SVC,{},{},2022-05-02,03:35:32
153,1,1,0,SVC,{},{},2022-05-02,03:35:32
154,0,1,0,SVC,{},{},2022-05-02,03:35:32
155,1,1,0,SVC,{},{},2022-05-02,03:35:32
156,1,1,0,SVC,{},{},2022-05-02,03:35:32
157,1,1,0,SVC,{},{},2022-05-02,03:35:32
158,0,0,0,SVC,{},{},2022-05-02,03:35:32
159,0,0,0,SVC,{},{},2022-05-02,03:35:32
160,1,1,0,SVC,{},{},2022-05-02,03:35:32
161,0,1,0,SVC,{},{},2022-05-02,03:35:32
162,1,1,0,SVC,{},{},2022-05-02,03:35:32
163,1,1,0,SVC,{},{},2022-05-02,03:35:32
164,1,1,0,SVC,{},{},2022-05-02,03:35:32
165,0,0,0,SVC,{},{},2022-05-02,03:35:32
166,0,0,0,SVC,{},{},2022-05-02,03:35:32
167,0,0,0,SVC,{},{},2022-05-02,03:35:32
168,0,0,0,SVC,{},{},2022-05-02,03:35:32
169,1,1,0,SVC,{},{},2022-05-02,03:35:32
170,0,0,0,SVC,{},{},2022-05-02,03:35:32
171,0,0,0,SVC,{},{},2022-05-02,03:35:32
172,1,1,0,SVC,{},{},2022-05-02,03:35:32
173,1,1,0,SVC,{},{},2022-05-02,03:35:32
174,0,0,0,SVC,{},{},2022-05-02,03:35:32
175,1,1,0,SVC,{},{},2022-05-02,03:35:32
176,0,0,0,SVC,{},{},2022-05-02,03:35:32
177,1,1,0,SVC,{},{},2022-05-02,03:35:32
178,0,0,0,SVC,{},{},2022-05-02,03:35:32
179,0,0,0,SVC,{},{},2022-05-02,03:35:32
180,0,0,0,SVC,{},{},2022-05-02,03:35:32
181,0,0,0,SVC,{},{},2022-05-02,03:35:32
182,1,1,0,SVC,{},{},2022-05-02,03:35:32
183,0,0,0,SVC,{},{},2022-05-02,03:35:32
184,1,0,0,SVC,{},{},2022-05-02,03:35:32
185,0,0,0,SVC,{},{},2022-05-02,03:35:32
186,0,0,0,SVC,{},{},2022-05-02,03:35:32
187,0,0,0,SVC,{},{},2022-05-02,03:35:32
188,1,1,0,SVC,{},{},2022-05-02,03:35:32
189,0,0,0,SVC,{},{},2022-05-02,03:35:32
190,0,0,0,SVC,{},{},2022-05-02,03:35:32
191,1,1,0,SVC,{},{},2022-05-02,03:35:32
192,0,0,0,SVC,{},{},2022-05-02,03:35:32
193,0,0,0,SVC,{},{},2022-05-02,03:35:32
194,1,1,0,SVC,{},{},2022-05-02,03:35:32
195,1,1,0,SVC,{},{},2022-05-02,03:35:32
